,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.275912017901562,0.027499769553254044,1.223519263605508,1.2576559482342615,1.2754332026779849,1.2938324882864216,1.3301106376970306,0.0005863260526333875
a_std,0.17065468946887094,0.0212093026035174,0.1354411200777278,0.15534151624183043,0.16854894309487345,0.1834796183913892,0.21676528024283698,0.0005340032059109493
a_subj.12,1.279563492099214,0.03937907027679298,1.2043960373921543,1.2521531977863778,1.279238811767625,1.3053371289780402,1.3587715703081804,0.0011982218320753042
a_subj.13,1.2636083359856418,0.03646469384748764,1.194585685307559,1.2372070677131721,1.2635150916110707,1.2886938407495474,1.3355659657678858,0.0009692460655347165
a_subj.14,1.1139337393195652,0.03338859022674959,1.0508248339789175,1.0904936934603553,1.1138752799061686,1.1359020119573526,1.1804812145351509,0.0008976534685608082
a_subj.16,1.2648935808644333,0.03707841267561981,1.1963169139161993,1.239822821978655,1.264209866401976,1.28864731293028,1.3390358979994295,0.0010035702280605018
a_subj.21,1.3101489012193175,0.038516904487913464,1.2342792241273086,1.2844047382685821,1.3100939636765467,1.3357498123863538,1.387045768264333,0.000907193266272173
a_subj.23,1.5786961397509383,0.04946577046811794,1.4805360985817722,1.5469591735914265,1.5784635946777605,1.6105735608039629,1.6762130156807267,0.0013714674098505993
a_subj.24,1.2961829291549467,0.04278389859469153,1.213836965582691,1.266182715297243,1.296586035140274,1.3260278982468037,1.3775983541663375,0.0013472051730146954
a_subj.25,1.2562764324916629,0.0736764036423667,1.1312807796910664,1.195398662838147,1.2497862540403566,1.3143182375704412,1.389584190647247,0.005247237252548416
a_subj.26,1.1325572345287112,0.0362076625780224,1.065551680846698,1.1079064570304267,1.1314043304470331,1.1567480165667083,1.207889050479808,0.001014830266512479
a_subj.27,1.3970177311924576,0.040574442506842556,1.3217613920456917,1.3692085969961671,1.394784869756061,1.4241162862469574,1.4820050392622637,0.0011705498965232952
a_subj.28,1.4733188912528115,0.05046741093010805,1.3793905823944528,1.4391136600059247,1.4719956725603462,1.5064050022800899,1.5702370912013925,0.0014981915748707264
a_subj.29,1.2572183196780913,0.05335682092496717,1.1536221650830947,1.2191969425018727,1.2576857140651243,1.2953125499036675,1.3607559627451153,0.002802068277433646
a_subj.30,1.0643864246585515,0.03307358803270879,1.003087810053048,1.041782483286636,1.0633380767289085,1.0861066428722905,1.1308605878892586,0.0009252122501310211
a_subj.34,1.1378757649298907,0.032450657045499536,1.0748972874616354,1.1170450875282512,1.1372639072124717,1.159349710145944,1.2013140105122073,0.0009015032759685581
a_subj.35,1.211093444776533,0.035883259905835706,1.1438686538049283,1.1859498744309676,1.2110333816698002,1.2360392179543824,1.282175988853562,0.000906651468923967
a_subj.36,1.2899785294472972,0.0434745471007355,1.2103010263692988,1.2592477517587435,1.2876316424219219,1.3189027710892598,1.379509831441802,0.0012174822653395537
a_subj.37,1.2232227116956238,0.03787047169154555,1.1519810939120636,1.197388175214913,1.2217980807284348,1.2485780654497955,1.3013532685210103,0.0009128287953548345
a_subj.38,1.625943917732075,0.0474766773787044,1.5358100361107523,1.5946258847075918,1.624231787209391,1.6553899131116336,1.7274403690876614,0.0011773916271739608
a_subj.41,1.393053339857866,0.04199700637598231,1.3143542629236622,1.3642790614919884,1.392091598004905,1.4201051238073066,1.4767760152913747,0.001358330011579739
a_subj.42,1.1236565252831554,0.030782399767670006,1.0650733393939593,1.1031135053655436,1.1235603082393364,1.1446299781665927,1.1841539564911887,0.0008387049566453483
a_subj.43,1.3478141716904266,0.04370224926674961,1.2675632595521311,1.317542987618109,1.3464312808462822,1.3765422453371976,1.4409111852171637,0.0011473462126298053
a_subj.46,1.3396193216417076,0.041116872887052555,1.2627414565084845,1.3110504240395768,1.33963736142434,1.3673070774337597,1.4242332728186968,0.001301697399395627
a_subj.54,1.592277558049163,0.04808291963598208,1.5028214158175206,1.5599078277817047,1.5916591759434164,1.6232808985543226,1.691275090546652,0.0012281107847856704
a_subj.60,1.2572523912876896,0.04729255414630091,1.1654183430884202,1.2243761547794318,1.2570409674288157,1.2897643735069992,1.3503609445428657,0.0011123138041403912
a_subj.61,1.6851547932093516,0.05769958744965779,1.5653085694798512,1.6491257574423979,1.6877090085581017,1.7243307542399786,1.7995396221448137,0.002654547545676684
a_subj.63,1.202766285564092,0.0664376793115133,1.0651174607651854,1.1614128986166596,1.2045783297350285,1.2465154654644468,1.3326296402719984,0.0028574102534648996
a_subj.66,1.2160120123535343,0.03614611003598029,1.1449128577764112,1.1919917770518798,1.215570787936394,1.240079704170634,1.2880111293289749,0.0008838516210527423
a_subj.75,1.288596139590389,0.04129478523254249,1.2107593948002102,1.2592830133523594,1.2886197952148866,1.3162014968546392,1.3720052107315412,0.0010871854828981352
a_subj.79,1.2901597218436534,0.04076561128046752,1.2144638132523475,1.2623098289922545,1.288231723987197,1.317632670652046,1.372780978104696,0.0011144873489022978
a_subj.81,1.6578352662124678,0.04575074119366988,1.5703987888955937,1.627563220961384,1.6575886874204788,1.687400053506491,1.751163093588377,0.0011030177756335329
a_subj.82,1.0417990101041394,0.029581235677996417,0.9873309610233492,1.021197763323372,1.0407672520082132,1.0616800313202748,1.1014153359188177,0.0007143934492970779
a_subj.84,1.26199387231345,0.039724480952363916,1.1848824896294672,1.235718251137602,1.2608130147307368,1.287463234633399,1.3435768668410852,0.0009808184986318286
a_subj.85,1.1110232651375802,0.0481165374322065,1.0214855838020103,1.0780591584823265,1.1089217588188154,1.1415674686206425,1.2134275156023153,0.002219372935119112
a_subj.86,1.1758012267747073,0.034218141225933425,1.1107210885757484,1.1525023642195693,1.1755023620056568,1.1986103990742905,1.2420005858313727,0.0009892639268980353
a_subj.87,1.1532308717539526,0.0327566878325776,1.0906451839725309,1.1307417812053746,1.1521536979640825,1.1754606208940084,1.2218504994297121,0.0008924395687773534
a_subj.89,1.012350166505975,0.027772868368031924,0.9599823928681162,0.9929669679107095,1.0114119798568495,1.0312717810455605,1.06835808018562,0.0006980293297181785
a_subj.91,1.119219262509137,0.03473130150286302,1.0538151827373583,1.0955780230448289,1.1186548088884187,1.142076906732575,1.1919192775403378,0.0011193473563826848
a_subj.94,1.2759881061089404,0.03781839281168941,1.205353830089917,1.2492814300722423,1.2741285542213308,1.3023870972395735,1.3522181119892145,0.0010640529874842708
a_subj.96,1.2430709550743542,0.04100375277050884,1.1673811821172082,1.2138330403360627,1.2403542443294102,1.2699424549869789,1.3279921231726979,0.0012612917933023352
a_subj.99,1.202159544080916,0.036818595972983245,1.1331861055476709,1.1765363204571817,1.2012825092151576,1.2261738283483112,1.2783819570098867,0.0009483149573474442
a_subj.100,1.0732036213157845,0.032472000732069115,1.0129579325670401,1.0513723516332034,1.0717226491410803,1.0942815337771388,1.140570064406195,0.0008641014570641299
a_subj.101,1.2742955463144832,0.035413641254498134,1.2049554708866133,1.250732045322262,1.2735298992588264,1.298462365610276,1.344392206771896,0.0009260926392417908
v,0.6709597132724726,0.04612746475167779,0.5801889373095144,0.6405551534477315,0.6724062274067175,0.7028148485433642,0.761068448102916,0.0010957814689771595
v_std,0.27959862337622965,0.03838005018406544,0.21623556463176533,0.2523753481333083,0.2754763972734964,0.3018180631449607,0.3652361424874559,0.0010182564242960355
v_subj.12,0.9492795577872551,0.1038743915442451,0.7450904399055918,0.8807965213624958,0.9487958947671707,1.0159476383827166,1.159933715980975,0.002447811796658773
v_subj.13,0.4270394237982454,0.09107576050992869,0.24538386614324142,0.3673598818309608,0.42767833736002225,0.48709595704569136,0.6103374370710997,0.0020238053908967994
v_subj.14,0.670749287958897,0.10647504370055448,0.4560013891199349,0.5999504197279255,0.6730215747408386,0.7386698197092477,0.8777073071104047,0.0023902611867057215
v_subj.16,0.587254608602404,0.09700190576859154,0.40106793483540676,0.5208764551598343,0.5848872667557005,0.6547148865598176,0.7723457478670168,0.0019604667460196247
v_subj.21,0.9594502115297558,0.09982655402614073,0.7666889514060546,0.8922422698412235,0.9605145541721731,1.0256036858374715,1.1529174423175648,0.0020718753591958566
v_subj.23,0.8226271279095781,0.09068952102897575,0.6467587025354524,0.763847670083824,0.8214326488639112,0.8824816884109626,0.992979628427141,0.0018476507638977937
v_subj.24,0.985639860655089,0.09919877295401106,0.7947949757991952,0.9209909385610539,0.9861868918067234,1.049554255404814,1.182652420231616,0.0019501136466277443
v_subj.25,1.0792728481881961,0.10220421583620008,0.8816638411429057,1.0067182130729395,1.0788196705786033,1.1487440478390394,1.2850740610664766,0.0026593844341571394
v_subj.26,0.6507745102224428,0.10762732931578209,0.444754685788861,0.5764276905398495,0.6493891911748009,0.7223709358197634,0.8619682002072555,0.00179783669234515
v_subj.27,0.7572935053561792,0.0902755425145481,0.5734335669111255,0.6973649984069229,0.7539136696915998,0.8180549392143202,0.938917022600157,0.0018361994797861454
v_subj.28,0.5081822102794269,0.0944182797584425,0.3242237211324941,0.44493097363019163,0.5070597169568305,0.572080493838533,0.69326568557509,0.001864596462085126
v_subj.29,0.4079042755683976,0.09943209993518254,0.2112843809790519,0.33893789453565804,0.407884151847644,0.47597450847109735,0.6041425160320026,0.002084889002056345
v_subj.30,0.8910146876706571,0.11425531566261081,0.6665738103936045,0.8146222676179511,0.8936169812236092,0.9689518803481769,1.1105429809242082,0.0027899667465952705
v_subj.34,0.7083310619132207,0.10562482475478205,0.5062881265128342,0.6352278577711363,0.7054399523234347,0.7808532804484977,0.9112398607610266,0.0022025894455633657
v_subj.35,0.8834362874361436,0.09885285223948911,0.6886465085908549,0.8171134947342527,0.8839043586895353,0.9533539985057724,1.0681950387537684,0.0019643619203339054
v_subj.36,0.5473890765127076,0.09004420110679591,0.37122985161115113,0.4864056083176359,0.546975689524172,0.6078333063654926,0.7302984541859425,0.0018561009666523552
v_subj.37,0.7727900306013163,0.10224865026473404,0.572649453766155,0.7018212751115186,0.7754111850191996,0.846533907557901,0.9653396664432916,0.002189637576391176
v_subj.38,0.45422956196754094,0.0761188580955729,0.3071928227656297,0.4046615197378671,0.45306394642669445,0.5069155940850365,0.6013113793548965,0.0015161293191528846
v_subj.41,0.718364069882789,0.0889825820380902,0.5482311365788048,0.656761196037757,0.7168558314721944,0.7798138116998532,0.8943457207829532,0.0019082212174663196
v_subj.42,0.16585352513203394,0.10253893019719963,-0.03355265172087529,0.09651745232795467,0.16412684901970961,0.23756333312716693,0.36685662294894295,0.002067404795199611
v_subj.43,1.2265411620646687,0.10125444382142497,1.0292716084288374,1.1586082709833927,1.2248792207929493,1.2930462588988312,1.4217439818752946,0.0023607508215031823
v_subj.46,0.2715770603153766,0.09008307197899564,0.09964467642271568,0.20877902846542676,0.2705263494197106,0.3371024041120585,0.43889691566251593,0.001818018367121001
v_subj.54,0.7502007876685909,0.08094013143153597,0.5909018033511818,0.6954734655260804,0.7507361545747793,0.8033918120104022,0.9076721804236675,0.0016609640275325548
v_subj.60,0.4151370717417175,0.1221418075825243,0.17485500484077998,0.3359263412278472,0.41303301312407337,0.49719955962168844,0.6525533043780245,0.0027091770751557403
v_subj.61,0.7808806463044273,0.07980547876635945,0.6239169853291295,0.7268184488645204,0.7815658824839531,0.8351415157537813,0.9367438470200147,0.0018614934939317194
v_subj.63,0.8973504687619672,0.15049029899559263,0.6087452444262267,0.7966722107930115,0.8994711338976762,0.9965812748194711,1.1933439494858677,0.003122374859648302
v_subj.66,0.5365742295430489,0.09636415895002666,0.34957075947751926,0.4720206386587965,0.5365896428020367,0.5995006856847183,0.7290385800953001,0.0018814789473114598
v_subj.75,0.4369743173693114,0.10318064881097898,0.23260809801728344,0.36579939564486114,0.43646869120034115,0.5102369641320789,0.6348143133764634,0.0019510885761492701
v_subj.79,0.4301364558286853,0.09386104173824292,0.2433544136836009,0.36961023960686146,0.42967405351224186,0.492186835351915,0.6162654604859215,0.0017436136191750508
v_subj.81,0.38369697816719206,0.07197021369635985,0.24539299285120958,0.3349995065344314,0.383462381759773,0.43394775400370744,0.5233422084103296,0.001329980224141801
v_subj.82,0.7242970456611342,0.11527755851894837,0.49186762914757587,0.6492536002249241,0.7248272675979951,0.800761815617301,0.9563381312209935,0.002500462385062654
v_subj.84,0.8275365661220913,0.10331571674202535,0.6270842718981791,0.7574592680704706,0.8245546915336599,0.8986100282307083,1.0286055953210342,0.001991724550339557
v_subj.85,0.7884023650987476,0.10884502574959537,0.5697743594016583,0.7154606424592724,0.7905920445021186,0.8592243410646453,0.9959294011287134,0.0021948246601239704
v_subj.86,0.47068943399572444,0.10039615171090924,0.2785773343236778,0.4008913532117332,0.4684905700613019,0.536640299214131,0.6682660074461888,0.0023308747725837714
v_subj.87,0.6368855026539273,0.1037920752040078,0.4270921199396138,0.5694229370194113,0.6363206252573652,0.7082374278154963,0.8398052834112517,0.002036383605823
v_subj.89,0.42256254489145495,0.11458202609540409,0.19870021819011824,0.3451775916434503,0.4216357647668733,0.5012648263654562,0.6447395325741447,0.002384800790117399
v_subj.91,1.081303512432662,0.11244736188701313,0.8627329184152691,1.0088822277351883,1.0795383227740836,1.1563695764006343,1.3026182527393815,0.002282017607467595
v_subj.94,0.8373021339274488,0.09493323477954665,0.6511931787781118,0.7727480053329544,0.8359101931355934,0.9027326106860291,1.027375748698922,0.0021181966683358902
v_subj.96,1.0839259734966018,0.10520546992031661,0.8785907412046333,1.0108352782882075,1.0858415018044103,1.1528174459151534,1.2942501708045189,0.002040534951709259
v_subj.99,0.5104256964690507,0.10400228693755577,0.3125140492689141,0.4401822017666599,0.5087409624173811,0.5810567342528073,0.7138837859332329,0.0020658084281298264
v_subj.100,0.4400420441220231,0.11322628457068142,0.21203554838185312,0.3634072677459169,0.44464840091251623,0.5171287690119934,0.6531374434761537,0.002147059274352625
v_subj.101,0.28266821902530903,0.09115986379702988,0.09817270520858262,0.2209392894126578,0.28321415587702237,0.3453639550448759,0.45264051212839196,0.0019243896254773098
t,0.6119420326466543,0.020770654546649905,0.5717530314691645,0.5979947549847392,0.6118645491758234,0.6250330350888031,0.6554479331997762,0.00044332879507247584
t_std,0.13566789087942455,0.0163214314003641,0.10901670703802728,0.12401464176244952,0.13414902834999393,0.14532323822452736,0.17222355433258457,0.0003650288281583488
t_subj.12,0.6080795802059333,0.005600054675833564,0.5964293234329622,0.604697974929721,0.6081043547541114,0.6117653828130334,0.6187014499223338,0.00016179473150524062
t_subj.13,0.6850754301151072,0.006321723569459869,0.6719945635641736,0.6811121191256604,0.6855063127197254,0.6894125752876383,0.6962092440146399,0.0001748052610542595
t_subj.14,0.5614198808165171,0.004743157188688407,0.5519507393788381,0.558490779896108,0.5612780940748583,0.5642459372469592,0.5714419060552411,0.0001156444030463133
t_subj.16,0.6211330745679147,0.006831585661175991,0.607384786220653,0.6165327185068598,0.6210699970843819,0.6259042866727313,0.634059304977136,0.00019219381099539503
t_subj.21,0.6151870257493249,0.005617901221444068,0.6037167791947103,0.6116804809611049,0.6152166299937305,0.6186905823850222,0.6264219815329238,0.0001357157803957195
t_subj.23,0.5495266666600668,0.010324093744399986,0.5323706077131267,0.5430686091569153,0.5487708297118266,0.5549716298927445,0.5743385966888763,0.00034679445737100423
t_subj.24,0.5784074232311963,0.009886005923802739,0.5621356285588989,0.5708541747953112,0.5765174073906779,0.5863853900454582,0.598278787030597,0.0003125416169444545
t_subj.25,0.5730067376121194,0.02641327583930426,0.5341026173143355,0.5449450736146122,0.5825597948139007,0.5952220635642,0.611399844078898,0.0020663535674940413
t_subj.26,0.6103962447598691,0.005948072556894703,0.5925936075320329,0.607941411825462,0.6110101017070564,0.61383917551576,0.620950051896998,0.0001886019576097951
t_subj.27,0.5683899843782768,0.00840849197468503,0.5534665276829781,0.5627687471850429,0.5676407780759162,0.5733951443191921,0.5875189541172519,0.00022577871688226828
t_subj.28,0.3729727041929135,0.006250428644659251,0.36004491360153335,0.36885687074394835,0.37345455564868535,0.3772044580096402,0.3841619144495073,0.0001880280775193943
t_subj.29,0.537806899095162,0.022212029758027683,0.5071014737884784,0.5195246562197029,0.5274701056793691,0.5621638807893827,0.573292790663455,0.0014413427704923361
t_subj.30,0.6054605310425538,0.0038857686204166104,0.59704856055333,0.6030212996986423,0.6056769589002368,0.6081763941418753,0.6124374867447442,0.0001092320745631435
t_subj.34,0.6304148779675128,0.00498614154277505,0.6210990243691571,0.6274136545263796,0.6302408103483527,0.6334909903660337,0.6397342420044424,0.0001515098206083741
t_subj.35,0.7270326068755891,0.005855600464187759,0.7151034310642965,0.7233628234560742,0.7272366158471518,0.7306328959126838,0.7395669816449763,0.0001486014776166716
t_subj.36,0.6395923849612313,0.014306861466436404,0.6130479518279527,0.6287800196864816,0.6393960618052389,0.6520900901943288,0.6632079761834144,0.0004239190338104136
t_subj.37,0.5464443416140022,0.006632985349382966,0.5345446850679791,0.5417797117725307,0.5458555930015139,0.5508403648076776,0.5595995860029043,0.00018600165282858962
t_subj.38,0.8128257600082129,0.011849380897757467,0.7886418832445106,0.8051696890995438,0.813337282394753,0.8208253736380446,0.8347876306981095,0.0003064196276511866
t_subj.41,0.5848556593412068,0.00942042774075633,0.5632823911485941,0.5793038226266933,0.5864930477022353,0.5914594327957925,0.5998128748369762,0.00031284186890532617
t_subj.42,0.40052203417928717,0.0047607320501871385,0.391203447259041,0.3973417277199387,0.4003879129669539,0.4034731597978193,0.410291409124824,0.00013855957867636641
t_subj.43,0.6542692087681306,0.006750536218181325,0.6380846968765134,0.6506930863225813,0.655270982051254,0.6589986997766015,0.6646653579132542,0.00018951205233111844
t_subj.46,0.4495815201147743,0.009718677675183815,0.42940009150371267,0.4436995357861932,0.44969781002243253,0.455849460533849,0.4675072675819842,0.00029760942851091534
t_subj.54,0.6857569077968511,0.010445637976374421,0.6662892852709033,0.6785330472405942,0.6851133154843988,0.6931032482461599,0.7064893726335834,0.0002780072480123622
t_subj.60,0.7193627088713078,0.00746386766878373,0.7039316230215094,0.7151129208592636,0.7197936708840241,0.723729504196531,0.7345490407409037,0.00023751823457945236
t_subj.61,0.6415435241208289,0.01992515608550814,0.618023934051136,0.6314244566417511,0.6377490980618713,0.6443612810318028,0.7073721508860659,0.0013803582189290098
t_subj.63,0.5420080305528007,0.019844607876518733,0.5110854798055872,0.5284115662328889,0.5401839207207713,0.5483419681862064,0.5906118992473051,0.001048138569635047
t_subj.66,0.597997366755258,0.009866506439498138,0.5799284235774514,0.5900668196689545,0.5986529365819288,0.6058655269745441,0.6145856413520071,0.00030408085441409853
t_subj.75,0.48688115323941783,0.00641548158663288,0.47323666443504875,0.4829097495998886,0.48710531597582213,0.4911268162655527,0.49927878343237514,0.00019030016878126524
t_subj.79,0.48375392693735175,0.007502574408129422,0.46672855867599433,0.47943176460446646,0.4847184060540452,0.48910362434057014,0.49587553216280705,0.00022439212244375182
t_subj.81,0.6098619206100316,0.012551205104754333,0.5866464074586185,0.6017735080160869,0.6093552946735876,0.6173360625583632,0.6384828831900622,0.00028786633147688675
t_subj.82,0.6215029392018651,0.004409460323836376,0.6131269417578528,0.6187695816959231,0.6213219622646396,0.6239839006579103,0.6308207002845203,9.967816016443539e-05
t_subj.84,1.4164596589620537,0.007915169654574112,1.399682772221178,1.4109028595795152,1.4172060398016482,1.4222025951782638,1.4302198364872887,0.00020518061935995068
t_subj.85,0.6667577844597743,0.014992815019152717,0.6322407040242862,0.6594917234433656,0.6675933973005743,0.6748858688978234,0.6927993802777779,0.0007407707321402726
t_subj.86,0.5052348425983567,0.008235727296929778,0.4920013803432741,0.5005001846896868,0.5049146356283882,0.5085044406280118,0.5262248634684826,0.0003149035426561575
t_subj.87,0.5770493068253139,0.005009045172520366,0.564297677420507,0.5744740136884862,0.577732131068575,0.580468789112047,0.5848209939239107,0.00015863357071836488
t_subj.89,0.6616491131809576,0.0033401903783039553,0.6544185125588466,0.6596696373501809,0.6619486048183639,0.6638745406406408,0.6675905366071625,8.584326591111173e-05
t_subj.91,0.6178302542864264,0.005398539982897002,0.6057116013252548,0.6149227160582449,0.6186893825950561,0.6216280362710854,0.626279100188847,0.00017403318554362818
t_subj.94,0.6261482024492677,0.006789929751983412,0.6102591903989898,0.6223427537401275,0.6265993710653084,0.6304677034546452,0.6388803856666542,0.0001929453334030661
t_subj.96,0.702560253032713,0.008258619435238247,0.6827863196533577,0.6981402113826805,0.7036829415887216,0.7084547895535473,0.7151712404054043,0.00025391063531739704
t_subj.99,0.5211842725445351,0.004081803197686361,0.512611895142323,0.5186257655905685,0.5214301130854305,0.5240037328779039,0.5283524497435642,0.00012139960210690098
t_subj.100,0.6281378798972557,0.004311986018214856,0.6201339892230404,0.6254438398718414,0.6279809241645316,0.6306123470352025,0.6371732454471414,0.0001260768580689297
t_subj.101,0.5027797846264606,0.008112336426062867,0.4874316648390137,0.49760453269490595,0.5025371357109183,0.5080626658581759,0.5191565731460746,0.00021470522894794685
