,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.5344842944512647,0.12754292992387373,2.3054123447178556,2.4460145110351394,2.5288848024707775,2.6124778621947646,2.809598646444213,0.007971128001901638
a_std,0.6023944895656749,0.11872989023779047,0.4107677632860994,0.5179708683645898,0.5854463521194828,0.6732841176910777,0.8740602199835964,0.008730249007857706
a_subj.9,2.9540952360725727,0.4293251653901793,2.2237009553878697,2.6408788740610047,2.9151410277408174,3.2281826632037007,3.911640482034566,0.03646465538719013
a_subj.10,2.048422782911551,0.3004022023058807,1.642181170103303,1.8494439293299378,1.982464131235026,2.170354817166501,2.870641607244477,0.023736349199057157
a_subj.15,1.989654198772399,0.12268989677043544,1.768418554308831,1.903677637154113,1.9807327906741568,2.0631953602951345,2.2520182552684664,0.004541692193913503
a_subj.17,2.6609270941185,0.3305692658725614,2.103710571194941,2.4209407656229494,2.635388959650398,2.8803452160455563,3.393387953217956,0.02303211071529486
a_subj.18,2.180021252623054,0.26225932023985593,1.7722682178366522,1.9971844122616997,2.1424371917119927,2.3198457755783997,2.7396380020346935,0.019373514230558136
a_subj.20,2.9400496808715864,0.6392932995707099,2.197394438930292,2.46880136021946,2.718982796347306,3.2429910488920184,4.473515187984537,0.056914801142770886
a_subj.22,2.5840799750325134,0.3544717906362994,1.9357831273269535,2.3355029381391406,2.5782658686150284,2.826620778815467,3.295816833689325,0.027042532947966817
a_subj.31,2.4880442404989647,0.31771393707789286,1.950364446203571,2.2651128868972212,2.458740295829114,2.6771026137742964,3.23216425209102,0.01790518497000732
a_subj.32,2.4111145508378193,0.33142013684466853,1.858670424949611,2.168896679512017,2.3786791359101795,2.6213712586353255,3.1329868595171515,0.020092504120329757
a_subj.33,2.658296160527763,0.3393563039270148,2.1010540383171232,2.423474840821779,2.624010116697336,2.864491615723441,3.425174418002897,0.01903776450802743
