,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(0),1.605014605261497,0.03834063669248911,1.5316843576967107,1.57702831444899,1.6074278497803678,1.6322284069147017,1.678900911965581,0.0016476041589026207
a(1),1.6561482241289878,0.034733100778214794,1.5895048537822654,1.631402585011576,1.6576233391248842,1.679191313922188,1.7196079515576193,0.0017456150244123867
a_std,0.22754860124486634,0.021120830567153796,0.19223596748859398,0.21343485267163495,0.22524750846640806,0.23994553229199125,0.26923989540123705,0.0011622463254462442
a_subj(0).13,1.7862126399800666,0.09913733644617409,1.6054196604841167,1.714064679500414,1.783419040643014,1.8559558632943083,1.9772214224393787,0.0054389364929436305
a_subj(0).17,1.0669874687470937,0.06358559446090421,0.9503213353408506,1.0254176250253162,1.061310941729133,1.1052208406372788,1.1970951970954153,0.003478860607302888
a_subj(0).76,1.6374944323135205,0.0856844108588514,1.4699726852268835,1.5788573547772768,1.6322901761842588,1.6945938955864543,1.816136533310385,0.004593605492016462
a_subj(0).81,1.6962157616048055,0.09238335931906774,1.5201860206595075,1.633088162137408,1.6955528282532302,1.7592119872104897,1.8717216242705903,0.00552757272767526
a_subj(0).86,1.7243534308490853,0.08766230328130012,1.5692540435229552,1.6593645220045752,1.72012532386516,1.7793364058906374,1.9227698968822486,0.004410299071390193
a_subj(0).91,1.8629261054580195,0.09408217647939447,1.6972853220659032,1.7921892629492266,1.8617738978764855,1.9280123533926803,2.0537721776279643,0.0045216924557059945
a_subj(0).92,1.7243498253654,0.0966025324743198,1.548544614881837,1.6632949873550424,1.718762367408764,1.7820439052024386,1.9374384722458664,0.0048438603751035135
a_subj(0).93,1.4409049681096653,0.07175772349154944,1.3048684909067756,1.3921987161556173,1.436321705193599,1.4883047415206776,1.5887063623155036,0.002824966993475312
a_subj(0).94,1.6222727087246676,0.08477705179936432,1.4481524238864538,1.5623503244575248,1.616434745706523,1.6809054796891783,1.7870967183756608,0.004340844132189153
a_subj(0).95,1.5561540503440443,0.07769938617961739,1.4178941155313274,1.5044609325244145,1.5538760710250266,1.6014823607434212,1.7123458959114322,0.00391025994513069
a_subj(0).99,1.3296135678346117,0.06753154018108146,1.2005476382123794,1.2818453411001307,1.3306848159259281,1.376796901043359,1.4632741972798131,0.0032916290309017
a_subj(0).114,1.4410851527556965,0.07193469745705705,1.2976156491733835,1.3929735735647188,1.4410425379540832,1.4885309860201623,1.5900268454634117,0.003477522940248067
a_subj(0).115,1.5606901396608295,0.09520891240445313,1.3965767289954798,1.4926282082893059,1.5517644421934824,1.619844194874897,1.766481155709842,0.006582572871389506
a_subj(0).116,1.722410615822609,0.08668671501293243,1.5550085963516553,1.6683588041466857,1.7207814692863188,1.774666054420257,1.9036906513782197,0.0038415862671725117
a_subj(0).21006,1.7210522389112168,0.1138294597184236,1.5038123355414736,1.6411704077839997,1.7200410212046844,1.796794345993134,1.9586962723561232,0.006155248113218567
a_subj(0).21008,1.576737885091244,0.08207054255260693,1.4370218265843184,1.520129051585423,1.5706234419008038,1.6220916468195345,1.7680737677926275,0.004224535539173486
