subj_idx,category,stim,response,accuracy,rt,age
11009,1,1,2,1,0.665,0
11009,1,1,2,1,0.717,0
11009,1,0,1,1,0.874,0
11009,1,0,1,1,0.837,0
11009,1,0,1,1,0.72,0
11009,1,1,2,1,0.639,0
11009,1,0,1,1,0.663,0
11009,1,1,2,1,0.633,0
11009,1,1,2,1,0.692,0
11009,1,0,1,1,0.814,0
11009,1,1,2,1,0.399,0
11009,1,1,2,1,0.526,0
11009,1,1,2,1,0.636,0
11009,1,0,1,1,0.665,0
11009,1,0,1,1,0.83,0
11009,1,1,2,1,0.777,0
11009,1,0,1,1,0.618,0
11009,1,0,1,1,0.887,0
11009,1,1,2,1,0.597,0
11009,1,1,2,1,0.631,0
11009,1,0,1,1,0.548,0
11009,1,0,1,1,0.601,0
11009,1,0,1,1,0.557,0
11009,1,0,1,1,0.828,0
11009,1,1,2,1,0.774,0
11009,1,0,1,1,0.573,0
11009,1,0,1,1,0.571,0
11009,1,1,2,1,0.612,0
11009,1,1,2,1,0.496,0
11009,3,1,2,1,0.582,0
11009,3,0,1,1,0.808,0
11009,3,1,2,0,0.762,0
11009,3,1,2,1,0.654,0
11009,3,0,1,1,1.711,0
11009,3,0,1,1,0.589,0
11009,3,0,2,0,2.273,0
11009,3,1,2,1,0.544,0
11009,3,1,2,1,0.791,0
11009,3,1,2,1,0.846,0
11009,3,0,1,1,0.71,0
11009,3,1,2,1,0.597,0
11009,3,0,1,1,0.898,0
11009,3,0,1,1,1.257,0
11009,3,1,2,1,0.734,0
11009,3,1,2,1,0.598,0
11009,3,1,2,1,0.942,0
11009,3,1,2,1,0.81,0
11009,3,0,1,1,0.537,0
11009,3,1,2,1,0.647,0
11009,3,0,1,1,0.691,0
11009,3,1,2,1,0.535,0
11009,3,0,1,1,0.695,0
11009,3,0,1,1,0.647,0
11009,3,0,1,1,0.741,0
11009,3,0,1,1,0.719,0
11009,3,0,1,1,0.523,0
11009,3,1,2,1,0.509,0
11009,3,1,2,1,0.659,0
11009,3,1,2,1,0.748,0
11009,2,0,1,1,0.745,0
11009,2,1,2,1,0.794,0
11009,2,1,2,0,0.85,0
11009,2,1,2,1,0.565,0
11009,2,1,2,1,0.822,0
11009,2,1,2,1,1.004,0
11009,2,1,2,1,0.767,0
11009,2,1,2,1,0.74,0
11009,2,1,2,1,0.794,0
11009,2,0,1,1,0.74,0
11009,2,1,2,1,0.724,0
11009,2,1,2,1,1.2,0
11009,2,0,1,1,0.528,0
11009,2,1,2,1,0.722,0
11009,2,1,2,0,0.544,0
11009,2,0,1,1,0.608,0
11009,2,1,2,1,0.576,0
11009,2,0,1,1,0.713,0
11009,2,0,1,1,0.823,0
11009,2,1,2,1,0.724,0
11009,2,1,2,0,0.719,0
11009,2,0,2,0,0.725,0
11009,2,0,1,1,0.851,0
11009,2,1,2,1,0.547,0
11009,2,0,1,1,0.779,0
11009,2,0,1,1,0.632,0
11009,2,1,2,0,0.511,0
11009,2,1,2,1,0.524,0
11009,2,0,2,0,0.868,0
11009,2,1,2,1,0.603,0
11012,3,0,2,0,2.133,0
11012,3,1,2,1,1.135,0
11012,3,1,2,1,1.165,0
11012,3,0,1,1,1.047,0
11012,3,0,1,1,0.729,0
11012,3,0,1,1,0.712,0
11012,3,0,1,1,1.522,0
11012,3,0,1,1,0.707,0
11012,3,0,1,1,1.138,0
11012,3,1,2,1,0.777,0
11012,3,1,2,1,0.788,0
11012,3,1,2,1,0.863,0
11012,3,1,2,1,0.847,0
11012,3,1,2,0,0.701,0
11012,3,1,2,1,1.293,0
11012,3,0,1,1,0.734,0
11012,3,1,2,1,0.84,0
11012,3,1,2,1,0.683,0
11012,3,1,2,1,1.78,0
11012,3,0,1,1,0.545,0
11012,3,0,1,1,0.893,0
11012,3,1,2,1,0.714,0
11012,3,0,1,1,0.586,0
11012,3,0,1,1,0.862,0
11012,3,0,1,1,0.938,0
11012,3,1,2,1,0.764,0
11012,3,1,2,1,0.718,0
11012,3,1,2,1,0.723,0
11012,3,1,2,1,0.895,0
11012,2,0,1,1,1.244,0
11012,2,1,2,1,0.886,0
11012,2,0,1,1,0.762,0
11012,2,1,2,1,0.963,0
11012,2,1,2,1,1.595,0
11012,2,0,1,1,0.707,0
11012,2,0,1,1,1.292,0
11012,2,1,2,1,0.871,0
11012,2,0,2,0,1.448,0
11012,2,1,2,1,1.11,0
11012,2,1,2,1,1.784,0
11012,2,1,2,1,1.345,0
11012,2,0,1,1,1.498,0
11012,2,1,2,1,1.107,0
11012,2,0,1,1,0.936,0
11012,2,1,2,1,0.952,0
11012,2,0,1,1,1.355,0
11012,2,0,1,1,0.63,0
11012,2,0,1,1,1.079,0
11012,2,0,1,1,0.762,0
11012,2,0,1,1,0.672,0
11012,2,1,2,1,1.898,0
11012,2,0,1,1,0.735,0
11012,2,1,2,1,0.77,0
11012,2,1,2,1,0.93,0
11012,2,1,2,1,0.835,0
11012,2,1,2,1,1.49,0
11012,2,0,1,1,1.452,0
11012,2,0,1,1,0.741,0
11012,2,1,2,1,0.791,0
11012,1,0,1,1,0.727,0
11012,1,1,2,1,1.574,0
11012,1,0,1,1,0.818,0
11012,1,1,2,1,1.037,0
11012,1,0,1,1,0.682,0
11012,1,1,2,1,1.431,0
11012,1,1,2,1,0.695,0
11012,1,1,2,1,0.769,0
11012,1,0,1,1,0.583,0
11012,1,1,2,1,1.297,0
11012,1,0,1,1,0.624,0
11012,1,0,1,1,0.646,0
11012,1,1,2,1,0.804,0
