,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.413486430052955,0.13196935044582495,2.2029183321029544,2.318168536322708,2.3975299344389303,2.488377262950136,2.7193037686587607,0.009401499860186567
a_std,0.5246546558138991,0.13837558161379393,0.3040894265880486,0.4261871011962609,0.5029948004650577,0.6066060495490089,0.8456099119927927,0.011342350130904772
a_subj.12,2.0846775007039984,0.11705081635751267,1.8666008935343377,2.004130641925671,2.081296208944724,2.15888131354693,2.3349908478782146,0.0044971233104039955
a_subj.13,2.160269493170363,0.13913431079243382,1.9202864599823268,2.0595110457746824,2.1509827323633015,2.248569361418982,2.458063198445365,0.005766993621892546
a_subj.14,1.921629785945909,0.1264913359538138,1.6930605300480015,1.83421576128015,1.9151829258605875,2.001276983407804,2.1867305338003855,0.0053626535517455175
a_subj.16,2.05495755233932,0.1171852353326647,1.8399484983249668,1.975623317374409,2.04874582806333,2.128818129049459,2.2976277320713736,0.003925990299910824
a_subj.21,1.9843863566751285,0.12054464642669663,1.7681389047994496,1.8995377312435502,1.9771944818035991,2.061418017954255,2.2386418497880096,0.00448266431695518
a_subj.23,2.3939565430352494,0.1860545100486135,2.0935755231194797,2.2677889606426254,2.3693890074803496,2.4959906014933697,2.8270796750542386,0.008991283982218842
a_subj.24,2.571229161220851,0.23106125611727765,2.1973509954759,2.4043522512671234,2.5458654145457333,2.7073124384579375,3.1126176705762116,0.012475887253402394
a_subj.25,2.6701121415995943,0.41968128206162625,2.0969314721755126,2.3608249099327336,2.570920016354794,2.897118227280454,3.7215518225769664,0.03369117103851011
a_subj.26,2.5677225521212668,0.47084802018847216,2.011256380804964,2.260974706621458,2.461788823827751,2.723438169827171,4.013290165095298,0.040097836381167
a_subj.27,3.380983447111404,0.49171061310258785,2.627631370458147,3.0127649771697094,3.313903000937352,3.6662455562447738,4.540076373092185,0.0343285430162129
a_subj.28,2.399539255943824,0.3063679390313454,1.9332472812663617,2.1854113408203344,2.3621081907485575,2.563234268529181,3.133125676847757,0.018041997463451597
a_subj.29,2.930073684733898,0.3764291200799193,2.309519657405483,2.656626513104406,2.88475021354735,3.163170339038849,3.7444568569687036,0.021903524493273988
a_subj.30,3.137763665274885,0.4439977175437948,2.4329123841059883,2.8155825164870425,3.077455141217121,3.4106756932266196,4.126696317168174,0.027609787821923703
a_subj.34,2.632281409793869,0.41707684642410936,2.007301496912101,2.3449415904458126,2.5647859884692967,2.8390066889185084,3.666141480967502,0.027252578150048702
a_subj.35,3.318950471237877,0.5874251918219358,2.402994016454764,2.9093609199024257,3.224571805205321,3.655610100894721,4.731341920281001,0.04858159861945105
a_subj.36,2.928811576775518,0.409082356588351,2.2655465421175327,2.6289301944101386,2.898293975860453,3.173750908422432,3.889470762301445,0.02525206059328285
a_subj.37,2.9186754001370345,0.3964375269954592,2.2774872992538677,2.6408253709724554,2.8709144797021753,3.1660331143203853,3.7645596067914155,0.026259024717307317
a_subj.38,2.749951631366152,0.4188117408285524,2.067338980356488,2.4587939348544454,2.7075892600853133,2.989534183615789,3.671434621593256,0.026126122592344297
a_subj.41,2.750553530206119,0.3557938638786061,2.1989112340350534,2.501207918438956,2.7028023080182826,2.938851126879668,3.6124280089183545,0.02309932700572115
a_subj.42,2.5905745423463507,0.3652182297064398,2.045018778592675,2.335335989029863,2.542425175873971,2.7808802847813143,3.4872473953710132,0.022523169055932567
a_subj.43,2.841180418934425,0.4054491653315883,2.174009799699309,2.5623473777078294,2.7888864440561365,3.0767297852368483,3.8188067220337456,0.025099156503260073
a_subj.46,3.019849812171932,0.37732402873553555,2.4057079513646045,2.7595874820183144,2.968976681620532,3.236145355012699,3.8287922404575587,0.02250434693276123
a_subj.54,2.7287591386516388,0.5063257961814779,2.1358711667658437,2.3716554809434114,2.5589381779703997,2.9492063609094425,4.020720699477387,0.042962659456014775
a_subj.60,2.2234025930799435,0.14158924755379226,1.970673790498279,2.1229376355141154,2.2182022782865154,2.3153711212102825,2.5355972145716152,0.004121115886118416
