,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(0),1.6002264086256448,0.03524500422884029,1.5299252449627931,1.5772557172235833,1.600266998491746,1.6232579337294686,1.669741291446563,0.0016594505141173845
a(1),1.6073591531336455,0.03792001687197332,1.532914047274988,1.5818448226640294,1.607295129447246,1.6330511652879762,1.6878324790233052,0.0020716185904784447
a_std,0.19687120655842838,0.023846233173867557,0.15440355318961563,0.18022730555096234,0.1951770598397843,0.21236083977282144,0.24713544924575437,0.0013959743033511167
a_subj(0).11009,1.6758317020741489,0.1042813808161623,1.493725246781112,1.6035668894457067,1.665037217558573,1.7422513650817755,1.9039267783289944,0.005948510904929581
a_subj(0).11012,1.6780563400803428,0.09855765198436123,1.5022934080052224,1.6075024382745373,1.6710439469341718,1.7396640323277743,1.881852955931437,0.005332348110891835
a_subj(0).11018,1.5844511841699904,0.09829846683501482,1.383384741354612,1.5153249329620821,1.589485535033983,1.6524463934912546,1.7669109220042383,0.0067012064210237084
a_subj(0).11019,1.6365205810645511,0.08187886679477722,1.4826562728189228,1.5805658354632515,1.6379883878728358,1.6933822165212484,1.8077565979544665,0.0043254857654066465
a_subj(0).11021,1.4368751963534225,0.07580657498099705,1.2900573643853464,1.3839299769464706,1.4349560318547678,1.483874598689419,1.5872361825304875,0.004077819839318986
a_subj(0).11022,1.7337369891223537,0.09919621993629373,1.5562559054624867,1.6654096176459852,1.7331080122046112,1.8017288590059097,1.9462388036200364,0.0050783701566029914
a_subj(0).11024,1.4821251956103412,0.0772220306416102,1.336828465212449,1.429417455635535,1.4789279375110584,1.5331764884072334,1.6421367530800177,0.004186139811996422
a_subj(0).11029,1.5364369500931552,0.07746738024062985,1.3825902160600478,1.4832862987001363,1.5360416785867528,1.5872338350324586,1.6853202060412813,0.003790673336172323
a_subj(0).11032,1.258681622981111,0.08105446372206723,1.1104617181208312,1.200891164473232,1.253725274514481,1.3126338790829788,1.4212491323337189,0.004067916027961918
a_subj(0).11046,1.5192204178920659,0.08073245006122516,1.357719406943906,1.4628808163548521,1.5155710187495717,1.5772177705759929,1.6765171547456859,0.004407871128750131
a_subj(0).11048,1.579704943819708,0.07186739766394681,1.437432877965128,1.5335147799237467,1.5767669712942634,1.6228364235400734,1.7323428338987463,0.003037569856594878
a_subj(0).11049,1.4265153404944984,0.07157121893491816,1.2909320625412661,1.3762903126230452,1.4257339893955774,1.4739810764316368,1.5760154177621992,0.0032439879584105448
a_subj(0).11051,1.6354680730849176,0.0849431941994148,1.4774358595421302,1.5782976384268192,1.6332718466486438,1.689813496940886,1.8139825116493902,0.005267707761750791
a_subj(0).11060,1.890089279209677,0.10268395539947299,1.693417685337831,1.8183301787432824,1.8868967579185387,1.957721205107793,2.092669993653704,0.005137446830769289
a_subj(0).11067,1.55958431632433,0.08904608508329676,1.3899071083264958,1.497419784580305,1.5588942903257914,1.6153141670195312,1.7419312006504066,0.0050218219196905165
a_subj(0).11074,1.3622683175638668,0.08305428515947794,1.2098253968949417,1.3039761826656555,1.3532607509134782,1.4216377371705025,1.5444573538390154,0.00454495001397998
a_subj(0).11075,1.5693010951387016,0.07814132188781579,1.42773718111428,1.5167462624009547,1.5654818618731436,1.62151228211942,1.7426264818493036,0.0038637027215393813
a_subj(0).11083,1.6878412806658734,0.09796995030219939,1.512561702621895,1.6169286766523108,1.6850278318292125,1.7504478579590141,1.9114501020651165,0.00568335378935792
a_subj(0).12005,1.4512710568609413,0.08786622388311412,1.2929574918142277,1.3912286936729161,1.4474053651279843,1.5051976357898291,1.6397928908052741,0.005157642724753232
a_subj(0).12014,1.4464414196299396,0.07249964292770084,1.3131353488166002,1.3961338098167386,1.4400729580073077,1.4940876405226917,1.6082501084152065,0.0038014315120688037
a_subj(0).12016,1.729083725066093,0.09424033044632446,1.5416021416477226,1.6677913333915826,1.7266890599651912,1.7879534911850734,1.91767630542975,0.005199077784723032
a_subj(0).12030,1.7602233147707957,0.0996227076579175,1.574976439029827,1.6868907024099435,1.7558754640117025,1.8277286849155086,1.9688547233432068,0.005315248861673722
a_subj(0).12033,1.3993946169587488,0.072050366405698,1.2604195413825263,1.3528754024466485,1.3958122781800935,1.4444267070202945,1.5416244623968756,0.004131349473112068
a_subj(0).12034,1.6410051689475051,0.08581216443033,1.4916908840728171,1.5804277587872526,1.6403295310082084,1.702469905686735,1.8113437541556578,0.004370722940744572
a_subj(0).12036,1.3792029835426165,0.07889121573360547,1.2264829694370332,1.3231350248810774,1.381539152555585,1.4332228157393587,1.5445003101758088,0.004234955835268827
a_subj(0).12037,1.544308294867494,0.0729041072973041,1.413002734713145,1.4929765303381253,1.5365966459915124,1.5896481929840645,1.7022779623668605,0.003638332707045027
a_subj(0).12039,1.4445955326221596,0.07256652555627471,1.3094017737356083,1.3935819296190142,1.4389606582064025,1.4944151318886127,1.5933298556168427,0.003951830491038873
a_subj(0).12050,1.5469119907315128,0.07870171611171131,1.4009715226740493,1.4917220683019268,1.5448211160959904,1.598696507813863,1.7199351258142332,0.003597400540708972
a_subj(0).12053,1.7233245544221985,0.0842505199084876,1.5636885377394285,1.6659393665247308,1.7201144477465968,1.7793874109262262,1.9020924277042615,0.004163552695669854
a_subj(0).12054,1.4852874920975856,0.09160334312937772,1.3213439724774625,1.4167623305185009,1.4823158300973327,1.5507722748081345,1.6614977331666483,0.0051299108442912885
a_subj(0).12070,1.9568228803043548,0.10665854348821796,1.766601070673068,1.8778338202079974,1.9508952804450415,2.033354695410875,2.1695604087546636,0.005237778723258712
a_subj(0).12084,1.640209264506582,0.08361211352034023,1.4804979061462908,1.583577068044815,1.635155751577294,1.6995831525591085,1.8141849304823507,0.004582947892708759
a_subj(0).12090,1.9636335585021667,0.1229008181846459,1.7368959617036865,1.8815840230986116,1.9588728167732228,2.0403873636381085,2.223509329264493,0.006398682966754644
a_subj(0).12100,1.797608871979411,0.10043728264270113,1.6243896152124369,1.724527586146241,1.7962401734044697,1.8651513140296536,2.010227358992607,0.005373258930252743
a_subj(0).12106,1.8221693786437658,0.09793456634736578,1.6406902069528662,1.7543758472809334,1.8152216122918563,1.8805881478385191,2.0312078899138597,0.005193830287422812
a_subj(1).11009,1.532423593860597,0.08171555978533308,1.3915865820302402,1.4756574440819352,1.5290330049093852,1.5818508405069318,1.7206173925584358,0.003761558442032519
a_subj(1).11012,1.4981339804762432,0.07389269530806239,1.3439206342504226,1.4474713407647217,1.500720530472774,1.548543450854457,1.6442645711799786,0.0036936191225171297
a_subj(1).11018,1.6664529700807214,0.0767751789488485,1.5320094331881595,1.6100481164317029,1.6674545695218639,1.7184685256371712,1.8317303216588816,0.0032857137451436495
a_subj(1).11019,1.5848307780951123,0.10151209578863381,1.3958058406439926,1.5131888213049982,1.5817501890909775,1.6498985425597203,1.7962815027803904,0.0049386188431790904
